num_numerator,num_denominator,date_recorded,pokemon_ID,pokemon_name,shiny_rate_frac,shiny_rate,sample_size
1,235,2020-05-22,1,Bulbasaur,1/235,0.00425531914893617,235
1,520,2020-05-22,25,Pikachu,1/520,0.0019230769230769232,"35,373"
1,390,2020-05-22,43,Oddish,1/390,0.002564102564102564,390
1,201,2020-05-22,58,Growlithe,1/201,0.004975124378109453,201
1,143,2020-05-22,60,Poliwag,1/143,0.006993006993006993,286
1,219,2020-05-22,66,Machop,1/219,0.0045662100456621,439
1,95,2020-05-22,81,Magnemite,1/95,0.010526315789473684,95
1,314,2020-05-22,90,Shellder,1/314,0.0031847133757961785,314
1,330,2020-05-22,92,Gastly,1/330,0.0030303030303030303,330
1,40,2020-05-22,95,Onix,1/40,0.025,326
1,338,2020-05-22,115,Kangaskhan,1/338,0.0029585798816568047,338
1,93,2020-05-22,116,Horsea,1/93,0.010752688172043012,186
1,119,2020-05-22,123,Scyther,1/119,0.008403361344537815,239
1,230,2020-05-22,126,Magmar,1/230,0.004347826086956522,230
1,153,2020-05-22,128,Tauros,1/153,0.006535947712418301,612
1,320,2020-05-22,129,Magikarp,1/320,0.003125,320
1,248,2020-05-22,152,Chikorita,1/248,0.004032258064516129,248
1,237,2020-05-22,155,Cyndaquil,1/237,0.004219409282700422,237
1,79,2020-05-22,158,Totodile,1/79,0.012658227848101266,159
1,257,2020-05-22,170,Chinchou,1/257,0.0038910505836575876,257
1,230,2020-05-22,190,Aipom,1/230,0.004347826086956522,460
1,230,2020-05-22,193,Yanma,1/230,0.004347826086956522,690
1,284,2020-05-22,213,Shuckle,1/284,0.0035211267605633804,284
1,43,2020-05-22,215,Sneasel,1/43,0.023255813953488372,175
1,37,2020-05-22,227,Skarmory,1/37,0.02702702702702703,189
1,253,2020-05-22,234,Stantler,1/253,0.003952569169960474,253
1,431,2020-05-22,252,Treecko,1/431,0.002320185614849188,"24,173"
1,508,2020-05-22,255,Torchic,1/508,0.001968503937007874,"24,422"
1,563,2020-05-22,258,Mudkip,1/563,0.0017761989342806395,"61,459"
1,502,2020-05-22,261,Poochyena,1/502,0.00199203187250996,"17,581"
1,606,2020-05-22,263,Zigzagoon,1/606,0.0016501650165016502,"13,946"
1,539,2020-05-22,265,Wurmple,1/539,0.0018552875695732839,"22,659"
1,495,2020-05-22,276,Taillow,1/495,0.00202020202020202,"27,246"
1,719,2020-05-22,278,Wingull,1/719,0.0013908205841446453,"4,317"
1,354,2020-05-22,280,Ralts,1/354,0.002824858757062147,"5,667"
1,287,2020-05-22,287,Slakoth,1/287,0.003484320557491289,862
1,420,2020-05-22,296,Makuhita,1/420,0.002380952380952381,"12,193"
1,517,2020-05-22,300,Skitty,1/517,0.0019342359767891683,"28,477"
1,1077,2020-05-22,302,Sableye,"1/1,077",9.285051067780873e-4,"2,154"
1,619,2020-05-22,304,Aron,1/619,0.0016155088852988692,"27,855"
1,493,2020-05-22,307,Meditite,1/493,0.002028397565922921,"28,617"
1,409,2020-05-22,311,Plusle,1/409,0.0024449877750611247,"6,966"
1,382,2020-05-22,312,Minun,1/382,0.002617801047120419,"6,892"
1,293,2020-05-22,315,Roselia,1/293,0.0034129692832764505,"2,053"
1,677,2020-05-22,318,Carvanha,1/677,0.0014771048744460858,"4,062"
1,517,2020-05-22,320,Wailmer,1/517,0.0019342359767891683,"2,069"
1,581,2020-05-22,325,Spoink,1/581,0.0017211703958691911,"4,073"
1,585,2020-05-22,328,Trapinch,1/585,0.0017094017094017094,"1,757"
1,621,2020-05-22,333,Swablu,1/621,0.001610305958132045,"2,484"
1,706,2020-05-22,335,Zangoose,1/706,0.00141643059490085,"4,943"
1,506,2020-05-22,336,Seviper,1/506,0.001976284584980237,"9,116"
1,51,2020-05-22,337,Lunatone,1/51,0.0196078431372549,51
1,541,2020-05-22,339,Barboach,1/541,0.0018484288354898336,"56,295"
1,618,2020-05-22,343,Baltoy,1/618,0.0016181229773462784,"7,422"
1,404,2020-05-22,345,Lileep,1/404,0.0024752475247524753,"2,832"
1,479,2020-05-22,347,Anorith,1/479,0.0020876826722338203,"1,916"
1,64,2020-05-22,349,Feebas,1/64,0.015625,"1,867"
1,1088,2020-05-22,353,Shuppet,"1/1,088",9.191176470588235e-4,"4,353"
1,406,2020-05-22,355,Duskull,1/406,0.0024630541871921183,"4,474"
1,153,2020-05-22,366,Clamperl,1/153,0.006535947712418301,153
1,860,2020-05-22,370,Luvdisc,1/860,0.0011627906976744186,"1,720"
1,623,2020-05-22,374,Beldum,1/623,0.0016051364365971107,"1,869"
1,429,2020-05-22,387,Turtwig,1/429,0.002331002331002331,"12,872"
1,595,2020-05-22,390,Chimchar,1/595,0.0016806722689075631,"14,888"
1,492,2020-05-22,393,Piplup,1/492,0.0020325203252032522,"14,781"
1,179,2020-05-22,412,Burmy,1/179,0.00558659217877095,179
1,478,2020-05-22,425,Drifloon,1/478,0.0020920502092050207,"1,434"
1,844,2020-05-22,427,Buneary,1/844,0.001184834123222749,"1,688"
1,413,2020-05-22,431,Glameow,1/413,0.002421307506053269,"14,053"
1,107,2020-05-22,443,Gible,1/107,0.009345794392523364,107
1,720,2020-05-22,449,Hippopotas,1/720,0.001388888888888889,720
1,428,2020-05-22,453,Croagunk,1/428,0.002336448598130841,"7,721"
1,374,2020-05-22,459,Snover,1/374,0.00267379679144385,"7,116"
