num_numerator,num_denominator,date_recorded,pokemon_ID,pokemon_name,shiny_rate_frac,shiny_rate,sample_size
1,339,2020-05-26,1,Bulbasaur,1/339,0.0029498525073746312,679
1,146,2020-05-26,4,Charmander,1/146,0.00684931506849315,438
1,562,2020-05-26,25,Pikachu,1/562,0.0017793594306049821,"92,246"
1,389,2020-05-26,43,Oddish,1/389,0.002570694087403599,778
1,348,2020-05-26,58,Growlithe,1/348,0.0028735632183908046,348
1,532,2020-05-26,60,Poliwag,1/532,0.0018796992481203006,532
1,332,2020-05-26,63,Abra,1/332,0.0030120481927710845,332
1,922,2020-05-26,66,Machop,1/922,0.0010845986984815619,"1,844"
1,435,2020-05-26,74,Geodude,1/435,0.0022988505747126436,"5,667"
1,385,2020-05-26,77,Ponyta,1/385,0.0025974025974025974,771
1,1166,2020-05-26,86,Seel,"1/1,166",8.576329331046312e-4,"1,166"
1,249,2020-05-26,90,Shellder,1/249,0.004016064257028112,498
1,710,2020-05-26,92,Gastly,1/710,0.0014084507042253522,710
1,54,2020-05-26,95,Onix,1/54,0.018518518518518517,656
1,279,2020-05-26,102,Exeggcute,1/279,0.0035842293906810036,558
1,283,2020-05-26,115,Kangaskhan,1/283,0.0035335689045936395,849
1,337,2020-05-26,116,Horsea,1/337,0.002967359050445104,337
1,89,2020-05-26,123,Scyther,1/89,0.011235955056179775,358
1,303,2020-05-26,126,Magmar,1/303,0.0033003300330033004,607
1,501,2020-05-26,128,Tauros,1/501,0.001996007984031936,"1,003"
1,185,2020-05-26,129,Magikarp,1/185,0.005405405405405406,741
1,448,2020-05-26,152,Chikorita,1/448,0.002232142857142857,448
1,424,2020-05-26,170,Chinchou,1/424,0.0023584905660377358,424
1,290,2020-05-26,185,Sudowoodo,1/290,0.0034482758620689655,870
1,693,2020-05-26,190,Aipom,1/693,0.001443001443001443,693
1,233,2020-05-26,193,Yanma,1/233,0.004291845493562232,"1,168"
1,891,2020-05-26,200,Misdreavus,1/891,0.001122334455667789,"6,243"
1,131,2020-05-26,202,Wobbuffet,1/131,0.007633587786259542,263
1,762,2020-05-26,206,Dunsparce,1/762,0.0013123359580052493,762
1,546,2020-05-26,213,Shuckle,1/546,0.0018315018315018315,546
1,47,2020-05-26,215,Sneasel,1/47,0.02127659574468085,335
1,1189,2020-05-26,220,Swinub,"1/1,189",8.410428931875525e-4,"1,189"
1,85,2020-05-26,227,Skarmory,1/85,0.011764705882352941,340
1,447,2020-05-26,255,Torchic,1/447,0.0022371364653243847,447
1,407,2020-05-26,258,Mudkip,1/407,0.002457002457002457,"1,630"
1,206,2020-05-26,261,Poochyena,1/206,0.0048543689320388345,412
1,383,2020-05-26,278,Wingull,1/383,0.0026109660574412533,766
1,618,2020-05-26,296,Makuhita,1/618,0.0016181229773462784,618
1,918,2020-05-26,302,Sableye,1/918,0.0010893246187363835,918
1,206,2020-05-26,309,Electrike,1/206,0.0048543689320388345,413
1,154,2020-05-26,313,Volbeat,1/154,0.006493506493506494,619
1,340,2020-05-26,318,Carvanha,1/340,0.0029411764705882353,340
1,1336,2020-05-26,325,Spoink,"1/1,336",7.485029940119761e-4,"1,336"
1,241,2020-05-26,335,Zangoose,1/241,0.004149377593360996,"1,446"
1,445,2020-05-26,336,Seviper,1/445,0.0022471910112359553,"1,335"
1,297,2020-05-26,337,Lunatone,1/297,0.003367003367003367,595
1,431,2020-05-26,338,Solrock,1/431,0.002320185614849188,431
1,213,2020-05-26,343,Baltoy,1/213,0.004694835680751174,426
1,388,2020-05-26,353,Shuppet,1/388,0.002577319587628866,388
1,170,2020-05-26,355,Duskull,1/170,0.0058823529411764705,683
1,379,2020-05-26,370,Luvdisc,1/379,0.002638522427440633,759
1,484,2020-05-26,387,Turtwig,1/484,0.002066115702479339,"108,510"
1,465,2020-05-26,390,Chimchar,1/465,0.002150537634408602,"130,286"
1,485,2020-05-26,393,Piplup,1/485,0.002061855670103093,"131,194"
1,599,2020-05-26,412,Burmy,1/599,0.001669449081803005,"2,397"
1,559,2020-05-26,425,Drifloon,1/559,0.0017889087656529517,"106,316"
1,490,2020-05-26,427,Buneary,1/490,0.0020408163265306124,"25,495"
1,501,2020-05-26,431,Glameow,1/501,0.001996007984031936,"117,784"
1,59,2020-05-26,436,Bronzor,1/59,0.01694915254237288,"31,816"
1,95,2020-05-26,443,Gible,1/95,0.010526315789473684,285
1,464,2020-05-26,449,Hippopotas,1/464,0.0021551724137931034,"30,169"
1,645,2020-05-26,451,Skorupi,1/645,0.0015503875968992248,"1,291"
1,534,2020-05-26,453,Croagunk,1/534,0.0018726591760299626,"65,721"
1,547,2020-05-26,459,Snover,1/547,0.0018281535648994515,"59,081"
